City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,Mahebourg,-20.4081,57.7,71.26,82,97,11.25,MU,2021-06-01 16:05:51
221,Anadyr,64.75,177.4833,32.0,86,0,1.81,RU,2021-06-01 16:07:31
222,Nzerekore,7.7562,-8.8179,88.39,50,70,1.92,GN,2021-06-01 16:07:36
223,Bermejo,-32.8833,-68.8,65.37,35,61,4.7,AR,2021-06-01 16:07:36
224,Hithadhoo,-0.6,73.0833,84.31,67,100,15.7,MV,2021-06-01 16:05:08
225,Triolet,-20.0547,57.5453,71.28,82,89,5.01,MU,2021-06-01 16:07:37
226,Kavieng,-2.5744,150.7967,76.95,92,100,5.48,PG,2021-06-01 16:07:37
227,Imbituba,-28.24,-48.6703,71.49,61,1,3.49,BR,2021-06-01 16:07:38
228,Ketchikan,55.3422,-131.6461,51.78,99,100,2.98,US,2021-06-01 16:07:38
229,Aripuana,-9.1667,-60.6333,92.25,37,39,3.24,BR,2021-06-01 16:07:39
230,Kargil,34.5667,76.1,46.33,60,98,5.08,IN,2021-06-01 16:07:39
231,Srednekolymsk,67.45,153.6833,54.84,40,88,2.55,RU,2021-06-01 16:05:47
232,Itupiranga,-5.1347,-49.3267,97.12,41,3,4.34,BR,2021-06-01 16:07:39
233,Coihaique,-45.5752,-72.0662,48.15,57,40,4.61,CL,2021-06-01 16:07:40
234,Vysokogornyy,50.1167,139.15,44.74,84,68,2.33,RU,2021-06-01 16:07:40
235,Nurota,40.5614,65.6886,91.49,14,1,6.85,UZ,2021-06-01 16:07:40
236,Gazli,40.1333,63.45,96.84,11,2,11.77,UZ,2021-06-01 16:07:41
237,Benemerito De Las Americas,16.5167,-90.6439,85.37,59,77,2.91,MX,2021-06-01 16:07:41
238,Labuan,5.2767,115.2417,80.76,71,100,3.91,MY,2021-06-01 16:07:42
239,Ostrovnoy,68.0531,39.5131,42.69,71,97,12.46,RU,2021-06-01 16:07:42
240,Bambous Virieux,-20.3428,57.7575,71.22,81,98,11.52,MU,2021-06-01 16:07:42
241,Joensuu,62.6012,29.7632,66.69,42,0,2.82,FI,2021-06-01 16:07:42
242,Saint-Augustin,51.226,-58.6502,46.35,94,100,6.13,CA,2021-06-01 16:07:43
243,Bandarbeyla,9.4942,50.8122,80.19,80,88,28.41,SO,2021-06-01 16:07:43
244,Wiarton,44.7407,-81.1332,68.49,70,25,8.84,CA,2021-06-01 16:07:44
245,Manzil Kamil,35.6248,10.6673,74.64,60,40,10.87,TN,2021-06-01 16:07:44
246,Kruisfontein,-34.0033,24.7314,56.88,79,24,14.18,ZA,2021-06-01 16:05:12
247,Los Algarrobos,8.5,-82.4333,87.46,74,20,5.41,PA,2021-06-01 16:07:44
248,Tiarei,-17.5333,-149.3333,75.22,65,22,14.79,PF,2021-06-01 16:07:45
249,Auki,-8.7676,160.7034,77.65,90,100,3.94,SB,2021-06-01 16:07:45
250,Cherskiy,68.75,161.3,55.63,42,8,3.31,RU,2021-06-01 16:04:51
251,Saucillo,28.0167,-105.2833,79.23,47,0,6.64,MX,2021-06-01 16:07:46
252,Gladstone,-23.85,151.25,62.78,88,2,5.75,AU,2021-06-01 16:07:46
253,Ust-Tsilma,65.441,52.1498,42.91,48,100,10.63,RU,2021-06-01 16:07:46
254,Pacajus,-4.1725,-38.4606,87.15,56,35,4.27,BR,2021-06-01 16:07:47
255,West Wendover,40.7391,-114.0733,74.41,22,1,8.05,US,2021-06-01 16:07:47
256,Briancon,44.9,6.65,66.38,68,97,2.33,FR,2021-06-01 16:07:47
257,Pacific Grove,36.6177,-121.9166,66.58,94,90,4.0,US,2021-06-01 16:04:49
258,Talnakh,69.4865,88.3972,31.66,97,100,4.32,RU,2021-06-01 16:04:45
259,Los Llanos De Aridane,28.6585,-17.9182,67.75,83,20,3.74,ES,2021-06-01 16:07:48
260,Provideniya,64.3833,-173.3,33.67,63,1,12.24,RU,2021-06-01 16:07:48
261,Saint Anthony,45.0205,-93.218,75.7,40,1,1.99,US,2021-06-01 16:07:48
262,Esperance,-33.8667,121.9,57.7,74,94,8.16,AU,2021-06-01 16:04:45
263,Honningsvag,70.9821,25.9704,46.15,87,75,20.71,NO,2021-06-01 16:07:49
264,Lufkin,31.3382,-94.7291,76.91,93,75,5.95,US,2021-06-01 16:03:00
265,Burnie,-41.0667,145.9167,49.91,79,100,4.36,AU,2021-06-01 16:07:49
266,Eydhafushi,5.1033,73.0708,83.48,68,73,16.8,MV,2021-06-01 16:07:50
267,San Juan Bautista,-14.0108,-75.7358,63.23,47,100,3.78,PE,2021-06-01 16:07:50
268,Ancud,-41.8697,-73.8203,53.42,74,43,6.17,CL,2021-06-01 16:07:51
269,Xining,36.6167,101.7667,52.7,58,88,1.43,CN,2021-06-01 16:07:51
270,Carnarvon,-24.8667,113.6333,53.67,87,77,8.05,AU,2021-06-01 16:07:51
271,Busko-Zdroj,50.4708,20.7188,64.99,65,98,3.24,PL,2021-06-01 16:07:52
272,Bay City,43.5945,-83.8889,72.16,45,1,7.14,US,2021-06-01 16:07:52
273,Serenje,-13.2325,30.2352,65.23,63,65,7.52,ZM,2021-06-01 16:07:52
274,Chuy,-33.6971,-53.4616,65.52,51,90,13.8,UY,2021-06-01 16:06:07
275,Bindi,9.9167,-11.45,88.5,52,92,6.15,SL,2021-06-01 16:07:53
276,Wagar,16.1525,36.2032,107.26,9,0,17.67,SD,2021-06-01 16:07:53
277,Clyde River,70.4692,-68.5914,30.65,95,100,4.7,CA,2021-06-01 16:07:54
278,Belyy Yar,53.6039,91.3903,55.29,44,0,4.76,RU,2021-06-01 16:07:54
279,Mayya,61.7333,130.2811,45.72,92,70,3.29,RU,2021-06-01 16:07:54
280,Souillac,-20.5167,57.5167,71.37,85,95,10.38,MU,2021-06-01 16:07:55
281,Ashqelon,31.6693,34.5715,81.41,63,0,10.38,IL,2021-06-01 16:07:55
282,Buala,-8.145,159.5921,80.44,85,98,7.52,SB,2021-06-01 16:07:55
283,Kingseat,56.0974,-3.4084,71.58,57,0,10.0,GB,2021-06-01 16:07:56
284,Iskateley,67.6803,53.1512,36.88,67,100,21.45,RU,2021-06-01 16:07:56
285,Keti Bandar,24.1447,67.4497,84.25,84,1,19.1,PK,2021-06-01 16:07:56
286,Bonavista,48.6499,-53.1147,51.33,98,100,21.45,CA,2021-06-01 16:07:57
287,Gazojak,41.1875,61.4036,95.72,15,7,8.77,TM,2021-06-01 16:07:57
288,Gulu,2.7746,32.299,72.3,78,94,3.62,UG,2021-06-01 16:07:58
289,Villazon,-22.0866,-65.5942,54.23,10,45,4.16,BO,2021-06-01 16:07:58
290,Port Hardy,50.6996,-127.4199,58.86,90,100,4.07,CA,2021-06-01 16:00:45
291,Sitka,57.0531,-135.33,51.69,87,90,4.61,US,2021-06-01 16:05:21
292,Kodiak,57.79,-152.4072,45.91,87,90,8.05,US,2021-06-01 16:05:44
293,Sidrolandia,-20.9319,-54.9614,81.39,45,11,4.36,BR,2021-06-01 16:05:51
